evidence_id,year,pmid,study_type,model,cancer_context,temperature_c,duration_min,radiation_dose_gy,interval_min,thermal_dose,main_finding,rule_hint,evidence_strength,doi,source_url
E01,1982,7146320,animal_experiment,"localized microwave heating","malignant tumors","40;43",30,NA,NA,NA,"Around 40 C tumor oxygenation improved, while higher temperatures reduced oxygenation because of vascular restriction","oxygenation_window",0.74,"10.1007/BF01323754","https://pubmed.ncbi.nlm.nih.gov/7146320/"
E02,2001,11260653,review,"mixed preclinical and human evidence","solid tumors","39-42",NA,NA,NA,NA,"Mild hyperthermia improves oxygenation during and up to 1-2 days after heating and can enhance radiation response","oxygenation_window",0.84,"10.1667/0033-7587(2001)155[0515:iotobm]2.0.co;2","https://pubmed.ncbi.nlm.nih.gov/11260653/"
E03,2015,26245485,mechanistic_review,"DNA repair literature","cancer cells",">41.5 to 45.5",NA,NA,NA,NA,"Hyperthermia perturbs multiple DNA repair pathways including HR and NHEJ-related components","multi_pathway_repair_inhibition",0.86,"10.1186/s13014-015-0462-0","https://pmc.ncbi.nlm.nih.gov/articles/PMC4554295/"
E04,2011,21555554,in_vitro_mechanistic,"cancer cell lines","mixed cancer cells","mild HT",NA,NA,NA,NA,"Mild hyperthermia inhibits homologous recombination and induces BRCA2 degradation","hr_inhibition_window",0.83,"10.1073/pnas.1101053108","https://pubmed.ncbi.nlm.nih.gov/21555554/"
E05,2017,28574821,in_vitro_mechanistic,"cell models","mixed cancer cells","41-43","30-60","0-6",NA,"thermal dose varied","HR inhibition and radiosensitization depend on thermal dose; 41-43 C for about 30-60 min is a key sensitizing range","thermal_dose_window",0.79,"10.18632/oncotarget.17861","https://pubmed.ncbi.nlm.nih.gov/28574821/"
E06,2020,32138173,in_vitro,"six cervical cell lines","cervical cancer","37-42",60,"2-8","0-240",NA,"Shorter interval caused more residual DNA damage, more apoptosis, and more cell kill; sequence had little effect","short_interval_rule",0.81,"10.3390/cancers12030582","https://pubmed.ncbi.nlm.nih.gov/32138173/"
E07,2024,37820768,translational_multimodel,"cell lines organoids xenografts plus patient cohort","cervical cancer",NA,NA,NA,NA,NA,"Radiosensitization critically depended on the HT-RT interval and shorter intervals aligned with better survival","interval_priority_rule",0.88,"10.1016/j.ijrobp.2023.09.048","https://pubmed.ncbi.nlm.nih.gov/37820768/"
E08,2019,30906734,retrospective_clinical,"400 patient cohort","locally advanced cervical cancer","40-43","60",NA,"30-230","TRISE and session quality","Interval alone was not the dominant predictor once thermal dose and treatment quality were considered","interval_conflict_rule",0.77,"10.3389/fonc.2019.00134","https://pubmed.ncbi.nlm.nih.gov/30906734/"
E09,2005,15860867,randomized_trial,"109 patients","superficial tumors <=3 cm","up to 43","60",NA,NA,"target 10-100 CEM43 T90","Adequate thermal dose improved complete response; superficial lesions responded better when sufficient heating was achieved","thermal_dose_and_depth_rule",0.90,"10.1200/JCO.2005.05.520","https://pubmed.ncbi.nlm.nih.gov/15860867/"
E10,2019,31450899,in_vitro_pilot,"HepG2 cells","hepatocellular carcinoma","37;40;43",NA,"2;4;8",NA,NA,"The strongest cytotoxic pattern was 40 C + 4 Gy + 48 h with high apoptosis and reduced VEGF/PDGF","hcc_specific_rule",0.68,"10.31557/APJCP.2019.20.8.2303","https://pubmed.ncbi.nlm.nih.gov/31450899/"
E11,2022,35158893,clinical_review,"thermometry literature","multiple tumors","40-43",NA,NA,NA,"CEM43 T90 and related parameters","Temperature, duration, thermal dose, interval, and sequence all matter, but thermal dose is among the most reproducible predictors","thermometric_priority_rule",0.87,"10.3390/cancers14030625","https://pubmed.ncbi.nlm.nih.gov/35158893/"
E12,2016,27411568,systematic_review,"randomized trials and NMA","locally advanced cervical cancer","about 40-43",NA,NA,NA,NA,"HTRT improved complete response and loco-regional control over RT without clear excess of severe toxicity","clinical_benefit_rule",0.89,"10.1080/02656736.2016.1195924","https://pubmed.ncbi.nlm.nih.gov/27411568/"
E13,2025,39920700,phase_ii_clinical_trial,"35 patients","recurrent head and neck cancer after prior RT","42 +/- 0.5",40,NA,"<=120",NA,"Repeated HT within 2 h after RT produced high response with manageable toxicity","repeated_schedule_rule",0.82,"10.1186/s13014-025-02585-z","https://pubmed.ncbi.nlm.nih.gov/39920700/"
E14,2002,NA,review_chapter,"tumor microenvironment and heat response literature","tumor cells and tumors","42.5-43",NA,NA,NA,NA,"The cytotoxic threshold for hyperthermia was described around 42.5 C and the critical temperature for cell-killing curves was between 42.5 C and 43 C","cytotoxic_threshold_rule",0.76,NA,"https://www.ncbi.nlm.nih.gov/books/NBK6245/"
